,Class,Accuracy,Top 5 Accuracy,F1 score,Precision,Recall,Specificity
856,"thresher, thrasher, threshing machine",tensor(0.7428),0.96,0.6034482,0.530303,0.7,0.9993794
857,throne,tensor(0.7428),0.8,0.76923084,0.85365856,0.7,0.9998799
858,tile roof,tensor(0.7428),0.78,0.70329666,0.7804878,0.64,0.9998198
859,toaster,tensor(0.7428),0.84,0.76923084,0.85365856,0.7,0.9998799
860,"tobacco shop, tobacconist shop, tobacconist",tensor(0.7428),0.8,0.43548384,0.36486486,0.54,0.9990591
861,toilet seat,tensor(0.7428),0.86,0.77227724,0.7647059,0.78,0.99975973
862,torch,tensor(0.7428),0.94,0.71929824,0.640625,0.82,0.99953955
863,totem pole,tensor(0.7428),1.0,0.94,0.94,0.94,0.9999399
864,"tow truck, tow car, wrecker",tensor(0.7428),0.92,0.6464646,0.6530612,0.64,0.99965966
865,toyshop,tensor(0.7428),0.88,0.54545456,0.5,0.6,0.9993994
866,tractor,tensor(0.7428),0.98,0.7358491,0.6964286,0.78,0.99965966
867,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",tensor(0.7428),0.98,0.7676767,0.7755102,0.76,0.99977976
868,tray,tensor(0.7428),0.78,0.5894737,0.62222224,0.56,0.99965966
869,trench coat,tensor(0.7428),0.78,0.6585367,0.84375,0.54,0.9998999
870,"tricycle, trike, velocipede",tensor(0.7428),1.0,0.71929824,0.640625,0.82,0.99953955
871,trimaran,tensor(0.7428),0.96,0.754717,0.71428573,0.8,0.9996797
872,tripod,tensor(0.7428),0.86,0.67391306,0.7380952,0.62,0.99977976
873,triumphal arch,tensor(0.7428),0.98,0.9108911,0.9019608,0.92,0.9998999
874,"trolleybus, trolley coach, trackless trolley",tensor(0.7428),1.0,0.8596491,0.765625,0.98,0.9996997
875,trombone,tensor(0.7428),0.84,0.67346936,0.6875,0.66,0.9996997
876,"tub, vat",tensor(0.7428),0.88,0.3695652,0.4047619,0.34,0.9994995
877,turnstile,tensor(0.7428),0.92,0.7755102,0.7916667,0.76,0.9997998
878,typewriter keyboard,tensor(0.7428),0.98,0.48,0.72,0.36,0.99985987
879,umbrella,tensor(0.7428),0.7,0.6511628,0.7777778,0.56,0.99983984
880,"unicycle, monocycle",tensor(0.7428),0.96,0.7358491,0.6964286,0.78,0.99965966
881,"upright, upright piano",tensor(0.7428),0.92,0.7567568,0.6885246,0.84,0.9996196
882,"vacuum, vacuum cleaner",tensor(0.7428),0.92,0.6666667,0.65384614,0.68,0.99963963
883,vase,tensor(0.7428),0.8,0.5102041,0.5208333,0.5,0.99953955
884,vault,tensor(0.7428),0.96,0.640625,0.525641,0.82,0.99925923
885,velvet,tensor(0.7428),0.58,0.23880596,0.47058824,0.16,0.9998198
886,vending machine,tensor(0.7428),0.98,0.88073385,0.8135593,0.96,0.99977976
887,vestment,tensor(0.7428),0.92,0.6804124,0.70212764,0.66,0.99971974
888,viaduct,tensor(0.7428),0.9,0.82608694,0.9047619,0.76,0.9999199
889,"violin, fiddle",tensor(0.7428),0.82,0.70454544,0.81578946,0.62,0.99985987
890,volleyball,tensor(0.7428),1.0,0.9142857,0.8727273,0.96,0.99985987
891,waffle iron,tensor(0.7428),0.86,0.8453609,0.87234044,0.82,0.9998799
892,wall clock,tensor(0.7428),0.9,0.59405947,0.5882353,0.6,0.9995796
893,"wallet, billfold, notecase, pocketbook",tensor(0.7428),0.96,0.53846157,0.5185185,0.56,0.9994795
894,"wardrobe, closet, press",tensor(0.7428),0.88,0.5762712,0.5,0.68,0.9993193
895,"warplane, military plane",tensor(0.7428),0.96,0.69642854,0.62903225,0.78,0.99953955
896,"washbasin, handbasin, washbowl, lavabo, wash-hand basin",tensor(0.7428),1.0,0.7407407,0.6896552,0.8,0.99963963
897,"washer, automatic washer, washing machine",tensor(0.7428),0.9,0.8571428,0.9512195,0.78,0.99995995
898,water bottle,tensor(0.7428),0.68,0.5531915,0.59090906,0.52,0.99963963
899,water jug,tensor(0.7428),0.76,0.3703704,0.48387095,0.3,0.9996797
